Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1247","spr1149","VBIStrPne107296_1247","PATRIC.171101.6.NC_003098.CDS.1150320.1151027.rev","PATRIC","CDS",1150320,1151027,708,"-","FIG00074225","PLF_1301_00001345","PGF_00038821","NP_358742.1",235,"ispD","Sugar-phosphate cytidylyltransferase",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1248","spr1150","VBIStrPne107296_1248","PATRIC.171101.6.NC_003098.CDS.1151363.1152850.fwd","PATRIC","CDS",1151363,1152850,1488,"+","FIG00148371","PLF_1301_00001454","PGF_00019946","NP_358743.1",495,,"Membrane protein CarB involved in the export of O-antigen and teichoic acid, Streptococci specific",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1249","spr1151","VBIStrPne107296_1249","PATRIC.171101.6.NC_003098.CDS.1152860.1153663.fwd","PATRIC","CDS",1152860,1153663,804,"+","FIG01304235","PLF_1301_00001328","PGF_06489838","NP_358744.1",267,"licD1","Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)","GO:0008808|cardiolipin synthase activity;GO:0008808|UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity;GO:0008808|GDP-mannose:serine-protein mannose-1-phosphotransferase activity;GO:0008808|archaetidylserine synthase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1250","spr1152","VBIStrPne107296_1250","PATRIC.171101.6.NC_003098.CDS.1153665.1154474.fwd","PATRIC","CDS",1153665,1154474,810,"+","FIG01304235","PLF_1301_00001486","PGF_00017233","NP_358745.1",269,"licD2","Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1251","spr1153","VBIStrPne107296_1251","PATRIC.171101.6.NC_003098.CDS.1154749.1157925.rev","PATRIC","CDS",1154749,1157925,3177,"-","FIG00000111","PLF_1301_00000352","PGF_00416410","NP_358746.1",1058,"carB","Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)","GO:0004088|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.126","spr0107","VBIStrPne107296_0126","PATRIC.171101.6.NC_003098.CDS.115766.116233.fwd","PATRIC","CDS",115766,116233,468,"+","FIG01114899","PLF_1301_00002108","PGF_03497461","NP_357701.1",155,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1252","spr1154","VBIStrPne107296_1252","PATRIC.171101.6.NC_003098.CDS.1158238.1159317.rev","PATRIC","CDS",1158238,1159317,1080,"-","FIG00000130","PLF_1301_00000442","PGF_07015581","NP_358747.1",359,"carA","Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)","GO:0004088|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1253","spr1155","VBIStrPne107296_1253","PATRIC.171101.6.NC_003098.CDS.1159367.1160290.rev","PATRIC","CDS",1159367,1160290,924,"-","FIG00000122","PLF_1301_00000381","PGF_00066906","NP_358748.1",307,"pyrB","Aspartate carbamoyltransferase (EC 2.1.3.2)","GO:0004070|aspartate carbamoyltransferase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1254","spr1156","VBIStrPne107296_1254","PATRIC.171101.6.NC_003098.CDS.1160309.1160830.rev","PATRIC","CDS",1160309,1160830,522,"-","FIG00000677","PLF_1301_00000244","PGF_00066124","NP_358749.1",173,"pyrR","Pyrimidine operon regulatory protein PyrR",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1255","spr1157","VBIStrPne107296_1255","PATRIC.171101.6.NC_003098.CDS.1161041.1161670.rev","PATRIC","CDS",1161041,1161670,630,"-","FIG00000290","PLF_1301_00000582","PGF_08394843","NP_358750.1",209,"nth","Endonuclease III (EC 4.2.99.18)","GO:0003906|DNA-(apurinic or apyrimidinic site) lyase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.12","spr0011","VBIStrPne107296_0012","PATRIC.171101.6.NC_003098.CDS.11616.12158.fwd","PATRIC","CDS",11616,12158,543,"+","FIG00000355","PLF_1301_00000863","PGF_00013490","NP_357605.1",180,"hgt","Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)","GO:0004422|hypoxanthine phosphoribosyltransferase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1256","spr1158","VBIStrPne107296_1256","PATRIC.171101.6.NC_003098.CDS.1161670.1162212.rev","PATRIC","CDS",1161670,1162212,543,"-","FIG00008125","PLF_1301_00001313","PGF_02031353","NP_358751.1",180,,"FIG01269488: protein, clustered with ribosomal protein L32p",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1257","spr1159","VBIStrPne107296_1257","PATRIC.171101.6.NC_003098.CDS.1162334.1162522.fwd","PATRIC","CDS",1162334,1162522,189,"+","FIG00041920","PLF_1301_00001525","PGF_00411839","NP_358752.1",62,,"BlpT protein, fusion",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1258","spr1160","VBIStrPne107296_1258","PATRIC.171101.6.NC_003098.CDS.1162519.1162698.fwd","PATRIC","CDS",1162519,1162698,180,"+","FIG00041920","PLF_1301_00001525","PGF_00411839","NP_358753.1",59,,"BlpT protein, fusion",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1259","spr1161","VBIStrPne107296_1259","PATRIC.171101.6.NC_003098.CDS.1162971.1164497.fwd","PATRIC","CDS",1162971,1164497,1527,"+","FIG01956052","PLF_1301_00020408","PGF_02873168","NP_358754.1",508,"ABC-NBD","Bis-ABC ATPase",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1260","spr1162","VBIStrPne107296_1260","PATRIC.171101.6.NC_003098.CDS.1164646.1165545.rev","PATRIC","CDS",1164646,1165545,900,"-","FIG00005571","PLF_1301_00000478","PGF_01405081","NP_358755.1",299,"htpX","Heat shock protein HtpX",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.127","spr0108","VBIStrPne107296_0127","PATRIC.171101.6.NC_003098.CDS.116476.117582.fwd","PATRIC","CDS",116476,117582,1107,"+","FIG01364763","PLF_1301_00002092","PGF_00139127","NP_357702.1",368,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1261","spr1163","VBIStrPne107296_1261","PATRIC.171101.6.NC_003098.CDS.1165547.1166107.rev","PATRIC","CDS",1165547,1166107,561,"-","FIG00001666","PLF_1301_00000479","PGF_07058946","NP_358756.1",186,"lemA","LemA protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1262","spr1164","VBIStrPne107296_1262","PATRIC.171101.6.NC_003098.CDS.1166201.1166914.fwd","PATRIC","CDS",1166201,1166914,714,"+","FIG01089612","PLF_1301_00000371","PGF_00008838","NP_358757.1",237,"gidB","16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1263","spr1165","VBIStrPne107296_1263","PATRIC.171101.6.NC_003098.CDS.1167266.1168549.fwd","PATRIC","CDS",1167266,1168549,1284,"+","FIG00003251","PLF_1301_00000686","PGF_00066935","NP_358758.1",427,"pyrP","Uracil permease @ Uracil:proton symporter UraA",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1264","spr1166","VBIStrPne107296_1264","PATRIC.171101.6.NC_003098.CDS.1168744.1170315.rev","PATRIC","CDS",1168744,1170315,1572,"-","FIG00000113","PLF_1301_00000300","PGF_00052238","NP_358759.1",523,"ffh","Signal recognition particle protein Ffh",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1265","spr1167","VBIStrPne107296_1265","PATRIC.171101.6.NC_003098.CDS.1170327.1170659.rev","PATRIC","CDS",1170327,1170659,333,"-","FIG00001470","PLF_1301_00000434","PGF_06632167","NP_358760.1",110,,"Signal recognition particle associated protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1266","spr1168","VBIStrPne107296_1266","PATRIC.171101.6.NC_003098.CDS.1170750.1171127.rev","PATRIC","CDS",1170750,1171127,378,"-","FIG01115289","PLF_1301_00001409","PGF_08225224","NP_358761.1",125,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1267","spr1169","VBIStrPne107296_1267","PATRIC.171101.6.NC_003098.CDS.1171199.1172503.fwd","PATRIC","CDS",1171199,1172503,1305,"+","FIG01955928","PLF_1301_00000421","PGF_12884281","NP_358762.1",434,,"dNTP triphosphohydrolase, broad substrate specificity",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1268","spr1170","VBIStrPne107296_1268","PATRIC.171101.6.NC_003098.CDS.1172516.1173322.fwd","PATRIC","CDS",1172516,1173322,807,"+","FIG00743184","PLF_1301_00000541","PGF_03375596","NP_358763.1",268,,"Sugar phosphatase YidA (EC 3.1.3.23)","GO:0050308|sugar-phosphatase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1269","spr1171","VBIStrPne107296_1269","PATRIC.171101.6.NC_003098.CDS.1173490.1173837.rev","PATRIC","CDS",1173490,1173837,348,"-","FIG00000214","PLF_1301_00000313","PGF_04845029","NP_358764.1",115,"rplS","LSU ribosomal protein L19p","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1270","spr1172","VBIStrPne107296_1270","PATRIC.171101.6.NC_003098.CDS.1173956.1174285.rev","PATRIC","CDS",1173956,1174285,330,"-","FIG00553898","PLF_1301_00093100","PGF_06545170","NP_358765.1",109,"crcB","Fluoride ion transporter CrcB",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1271","spr1173","VBIStrPne107296_1271","PATRIC.171101.6.NC_003098.CDS.1174279.1174653.rev","PATRIC","CDS",1174279,1174653,375,"-","FIG00553898","PLF_1301_00066753","PGF_06545170","NP_358766.1",124,"crcB","Fluoride ion transporter CrcB",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1272","spr1174","VBIStrPne107296_1272","PATRIC.171101.6.NC_003098.CDS.1174650.1174916.rev","PATRIC","CDS",1174650,1174916,267,"-","FIG00001498","PLF_1301_00001341","PGF_00417826","NP_358767.1",88,,"Chorismate mutase I (EC 5.4.99.5)","GO:0004106|chorismate mutase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1273","spr1175","VBIStrPne107296_1273","PATRIC.171101.6.NC_003098.CDS.1175032.1175475.rev","PATRIC","CDS",1175032,1175475,444,"-","FIG00010844","PLF_1301_00000480","PGF_08946513","NP_358768.1",147,"flaV","Flavodoxin","GO:0010181|FMN binding;GO:0016491|oxidoreductase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1274","spr1176","VBIStrPne107296_1274","PATRIC.171101.6.NC_003098.CDS.1175579.1176514.fwd","PATRIC","CDS",1175579,1176514,936,"+","FIG00002194","PLF_1301_00000633","PGF_01833449","NP_358769.1",311,,"3'-to-5' oligoribonuclease A, Bacillus type",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1275","spr1177","VBIStrPne107296_1275","PATRIC.171101.6.NC_003098.CDS.1176610.1176852.fwd","PATRIC","CDS",1176610,1176852,243,"+","FIG01956155","PLF_1301_00000230","PGF_01614738","NP_358770.1",80,"rpmE2","LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1276","spr1178","VBIStrPne107296_1276","PATRIC.171101.6.NC_003098.CDS.1176909.1177487.rev","PATRIC","CDS",1176909,1177487,579,"-","FIG00002587","PLF_1301_00001621","PGF_00004652","NP_358771.1",192,,"Ferrous iron transport permease EfeU",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.128","spr0109","VBIStrPne107296_0128","PATRIC.171101.6.NC_003098.CDS.117728.118108.fwd","PATRIC","CDS",117728,118108,381,"+","FIG01115957","PLF_1301_00001861","PGF_03510691","NP_357703.1",126,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1277","spr1179","VBIStrPne107296_1277","PATRIC.171101.6.NC_003098.CDS.1177462.1178466.rev","PATRIC","CDS",1177462,1178466,1005,"-","FIG00137529","PLF_1301_00001901","PGF_07652575","NP_358772.1",334,,"Ferrous iron transport peroxidase EfeB",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1278","spr1180","VBIStrPne107296_1278","PATRIC.171101.6.NC_003098.CDS.1178518.1178784.rev","PATRIC","CDS",1178518,1178784,267,"-","FIG01306568","PLF_1301_00000013","PGF_01000105","NP_358773.1",88,"transposase_C","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1279",,"VBIStrPne107296_1279","PATRIC.171101.6.NC_003098.CDS.1179034.1179129.rev","PATRIC","CDS",1179034,1179129,96,"-","FIG01360787","PLF_1301_00037107","PGF_03082136",,31,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1280","spr1181","VBIStrPne107296_1280","PATRIC.171101.6.NC_003098.CDS.1179472.1180818.fwd","PATRIC","CDS",1179472,1180818,1347,"+","FIG00129130","PLF_1301_00000791","PGF_00024831","NP_358774.1",448,"gdhA","NADP-specific glutamate dehydrogenase (EC 1.4.1.4)","GO:0004354|glutamate dehydrogenase (NADP+) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1281","spr1182","VBIStrPne107296_1281","PATRIC.171101.6.NC_003098.CDS.1181314.1181484.rev","PATRIC","CDS",1181314,1181484,171,"-","FIG01114803","PLF_1301_00001713","PGF_03496172","NP_358775.1",56,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1282","spr1183","VBIStrPne107296_1282","PATRIC.171101.6.NC_003098.CDS.1181497.1182138.rev","PATRIC","CDS",1181497,1182138,642,"-","FIG01320482","PLF_1301_00001661","PGF_12934125","NP_358776.1",213,"ABC-NBD-truncation","ABC transporter, ATP-binding protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1283","spr1184","VBIStrPne107296_1283","PATRIC.171101.6.NC_003098.CDS.1182410.1182847.fwd","PATRIC","CDS",1182410,1182847,438,"+","FIG01306568","PLF_1301_00013124","PGF_09978608","NP_358777.1",145,,"Transposase",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1284","spr1185","VBIStrPne107296_1284","PATRIC.171101.6.NC_003098.CDS.1183138.1183341.rev","PATRIC","CDS",1183138,1183341,204,"-","FIG00081563","PLF_1301_00002583","PGF_03499646","NP_358778.1",67,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1285","spr1186","VBIStrPne107296_1285","PATRIC.171101.6.NC_003098.CDS.1183359.1184090.rev","PATRIC","CDS",1183359,1184090,732,"-","FIG00133227","PLF_1301_00000037","PGF_00023919","NP_358779.1",243,"npl-truncation","N-acetylneuraminate lyase (EC 4.1.3.3)","GO:0008747|N-acetylneuraminate lyase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1286","spr1188","VBIStrPne107296_1286","PATRIC.171101.6.NC_003098.CDS.1184308.1184715.rev","PATRIC","CDS",1184308,1184715,408,"-","FIG00000720","PLF_1301_00002104","PGF_08837849","NP_358781.1",135,"cdd","Cytidine deaminase (EC 3.5.4.5)","GO:0004126|cytidine deaminase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1287","spr1189","VBIStrPne107296_1287","PATRIC.171101.6.NC_003098.CDS.1185003.1185491.rev","PATRIC","CDS",1185003,1185491,489,"-","FIG01414708","PLF_1301_00002111","PGF_00017608","NP_358782.1",162,,"Low temperature requirement C protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1288","spr1190","VBIStrPne107296_1288","PATRIC.171101.6.NC_003098.CDS.1185496.1186905.rev","PATRIC","CDS",1185496,1186905,1410,"-","FIG01118147","PLF_1301_00002112","PGF_08225224","NP_358783.1",469,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.129","spr0110","VBIStrPne107296_0129","PATRIC.171101.6.NC_003098.CDS.118611.118931.rev","PATRIC","CDS",118611,118931,321,"-","FIG01114191","PLF_1301_00135431","PGF_08225224","NP_357704.1",106,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1289","spr1191","VBIStrPne107296_1289","PATRIC.171101.6.NC_003098.CDS.1186915.1188897.rev","PATRIC","CDS",1186915,1188897,1983,"-","FIG00002049","PLF_1301_00002103","PGF_09990804","NP_358784.1",660,"appD","Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1290","spr1192","VBIStrPne107296_1290","PATRIC.171101.6.NC_003098.CDS.1188910.1189761.rev","PATRIC","CDS",1188910,1189761,852,"-","FIG00455853","PLF_1301_00002329","PGF_10565701","NP_358785.1",283,"appC","ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1291","spr1193","VBIStrPne107296_1291","PATRIC.171101.6.NC_003098.CDS.1189778.1190728.rev","PATRIC","CDS",1189778,1190728,951,"-","FIG00945384","PLF_1301_00002327","PGF_07935890","NP_358786.1",316,"appB","ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1292","spr1194","VBIStrPne107296_1292","PATRIC.171101.6.NC_003098.CDS.1190838.1192466.rev","PATRIC","CDS",1190838,1192466,1629,"-","FIG00451095","PLF_1301_00002335","PGF_00728955","NP_358787.1",542,"appA","hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1293","spr1195","VBIStrPne107296_1293","PATRIC.171101.6.NC_003098.CDS.1192548.1193471.rev","PATRIC","CDS",1192548,1193471,924,"-","FIG00002386","PLF_1301_00002309","PGF_03498335","NP_358788.1",307,,"N-acetylneuraminate epimerase (EC 5.1.3.24)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1294","spr1196","VBIStrPne107296_1294","PATRIC.171101.6.NC_003098.CDS.1193495.1194193.rev","PATRIC","CDS",1193495,1194193,699,"-","FIG00001145","PLF_1301_00000035","PGF_02230495","NP_358789.1",232,"nanE","N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)","GO:0047465|N-acylglucosamine-6-phosphate 2-epimerase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1295","spr1197","VBIStrPne107296_1295","PATRIC.171101.6.NC_003098.CDS.1194240.1194503.rev","PATRIC","CDS",1194240,1194503,264,"-","FIG01306568","PLF_1301_00000009","PGF_01000105","NP_358790.1",87,"IS1381-truncation","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1296","spr1198","VBIStrPne107296_1296","PATRIC.171101.6.NC_003098.CDS.1194544.1194648.fwd","PATRIC","CDS",1194544,1194648,105,"+","FIG01844594","PLF_1301_00000008","PGF_01000105","NP_358791.1",34,"transposase_D","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1297",,"VBIStrPne107296_1297","PATRIC.171101.6.NC_003098.CDS.1194641.1194736.fwd","PATRIC","CDS",1194641,1194736,96,"+","FIG01661492","PLF_1301_00000008","PGF_01000105",,31,,"Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1298",,"VBIStrPne107296_1298","PATRIC.171101.6.NC_003098.CDS.1194649.1194789.fwd","PATRIC","CDS",1194649,1194789,141,"+","FIG01306568","PLF_1301_00000008","PGF_01000105",,46,,"Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1299","spr1199","VBIStrPne107296_1299","PATRIC.171101.6.NC_003098.CDS.1195086.1195307.rev","PATRIC","CDS",1195086,1195307,222,"-","FIG01114183","PLF_1301_00001757","PGF_08225224","NP_358792.1",73,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1300","spr1201","VBIStrPne107296_1300","PATRIC.171101.6.NC_003098.CDS.1196371.1197690.rev","PATRIC","CDS",1196371,1197690,1320,"-","FIG01114339","PLF_1301_00001815","PGF_08225224","NP_358794.1",439,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.130","spr0111","VBIStrPne107296_0130","PATRIC.171101.6.NC_003098.CDS.119688.120059.fwd","PATRIC","CDS",119688,120059,372,"+","FIG01115957","PLF_1301_00001939","PGF_03510691","NP_357705.1",123,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1301","spr1202","VBIStrPne107296_1301","PATRIC.171101.6.NC_003098.CDS.1197693.1198433.rev","PATRIC","CDS",1197693,1198433,741,"-","FIG01956052","PLF_1301_00001796","PGF_10425579","NP_358795.1",246,"ABC-NDB","ABC transporter, ATP-binding protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1302","spr1203","VBIStrPne107296_1302","PATRIC.171101.6.NC_003098.CDS.1198448.1200055.rev","PATRIC","CDS",1198448,1200055,1608,"-","FIG01309138","PLF_1301_00001794","PGF_03192541","NP_358796.1",535,"ABC-NP","Efflux ABC transporter, permease/ATP-binding protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1303","spr1204","VBIStrPne107296_1303","PATRIC.171101.6.NC_003098.CDS.1200052.1201992.rev","PATRIC","CDS",1200052,1201992,1941,"-","FIG01372328","PLF_1301_00002129","PGF_10292989","NP_358797.1",646,"ptrB","Protease II (EC 3.4.21.83)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1304","spr1205","VBIStrPne107296_1304","PATRIC.171101.6.NC_003098.CDS.1202025.1204634.rev","PATRIC","CDS",1202025,1204634,2610,"-","FIG01038262","PLF_1301_00001763","PGF_03092591","NP_358798.1",869,,"Lanthionine biosynthesis protein LanL",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1305",,"VBIStrPne107296_1305","PATRIC.171101.6.NC_003098.CDS.1204813.1204950.rev","PATRIC","CDS",1204813,1204950,138,"-","FIG01115902","PLF_1301_00000723","PGF_08225224",,45,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1306","spr1206","VBIStrPne107296_1306","PATRIC.171101.6.NC_003098.CDS.1205152.1205739.rev","PATRIC","CDS",1205152,1205739,588,"-","FIG01114020","PLF_1301_00057046","PGF_08225224","NP_358799.1",195,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1307",,"VBIStrPne107296_1307","PATRIC.171101.6.NC_003098.CDS.1205832.1205975.rev","PATRIC","CDS",1205832,1205975,144,"-","FIG01114515","PLF_1301_00000768","PGF_08225224",,47,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1308","spr1207","VBIStrPne107296_1308","PATRIC.171101.6.NC_003098.CDS.1205988.1206368.rev","PATRIC","CDS",1205988,1206368,381,"-","FIG01114254","PLF_1301_00001487","PGF_08225224","NP_358800.1",126,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1309","spr1208","VBIStrPne107296_1309","PATRIC.171101.6.NC_003098.CDS.1206423.1206629.rev","PATRIC","CDS",1206423,1206629,207,"-","FIG01114501","PLF_1301_00001463","PGF_08225224","NP_358801.1",68,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.131",,"VBIStrPne107296_0131","PATRIC.171101.6.NC_003098.CDS.120653.120778.fwd","PATRIC","CDS",120653,120778,126,"+",,"PLF_1301_00001718","PGF_03510691",,41,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1310",,"VBIStrPne107296_1310","PATRIC.171101.6.NC_003098.CDS.1206659.1206772.fwd","PATRIC","CDS",1206659,1206772,114,"+","FIG01581240","PLF_1301_00018790","PGF_03496640",,37,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1311","spr1209","VBIStrPne107296_1311","PATRIC.171101.6.NC_003098.CDS.1206709.1206963.rev","PATRIC","CDS",1206709,1206963,255,"-","FIG01114019","PLF_1301_00001945","PGF_08225224","NP_358802.1",84,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1312","spr1210","VBIStrPne107296_1312","PATRIC.171101.6.NC_003098.CDS.1206960.1207133.rev","PATRIC","CDS",1206960,1207133,174,"-","FIG01115488","PLF_1301_00001972","PGF_03496917","NP_358803.1",57,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1313",,"VBIStrPne107296_1313","PATRIC.171101.6.NC_003098.CDS.1207109.1207291.fwd","PATRIC","CDS",1207109,1207291,183,"+","FIG01116018","PLF_1301_00010349","PGF_03517149",,60,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1314","spr1211","VBIStrPne107296_1314","PATRIC.171101.6.NC_003098.CDS.1207321.1207689.rev","PATRIC","CDS",1207321,1207689,369,"-","FIG00000141","PLF_1301_00000133","PGF_00016445","NP_358804.2",122,"rplL","LSU ribosomal protein L7p/L12p (P1/P2)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1315","spr1212","VBIStrPne107296_1315","PATRIC.171101.6.NC_003098.CDS.1207765.1208265.rev","PATRIC","CDS",1207765,1208265,501,"-","FIG00000159","PLF_1301_00000172","PGF_01213071","NP_358805.1",166,"rplJ","LSU ribosomal protein L10p (P0)","GO:0005622|intracellular;GO:0042254|ribosome biogenesis and assembly"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1316","spr1213","VBIStrPne107296_1316","PATRIC.171101.6.NC_003098.CDS.1208270.1208455.fwd","PATRIC","CDS",1208270,1208455,186,"+","FIG01119918","PLF_1301_00006437","PGF_03517215","NP_358806.1",61,,"hypothetical protein",
